time,branch_id,air_quantity_m3s,velocity_ms,pressure_drop_pa,pressure_from_pa,pressure_to_pa,direction_sign,direction,anomaly_type,scenario_id
2023-01-01T00:00:00,VB_001,-10.821,1.082,105.379,27.796,133.175,1,to_from,normal,normal
2023-01-01T00:00:00,VB_002,-6.5,0.565,38.021,39.993,78.014,1,to_from,normal,normal
2023-01-01T00:00:00,VB_003,-12.931,0.995,200.66,79.574,280.234,1,to_from,normal,normal
2023-01-01T00:00:00,VB_004,8.687,0.599,67.922,291.828,223.906,1,from_to,normal,normal
2023-01-01T00:00:00,VB_005,-14.875,1.487,230.105,223.906,454.011,1,to_from,normal,normal
2023-01-01T00:00:00,VB_006,-9.707,0.844,94.231,309.176,403.407,1,to_from,normal,normal
2023-01-01T00:00:00,VB_007,-7.842,0.603,55.346,377.501,432.847,1,to_from,normal,normal
2023-01-01T00:00:00,VB_008,-14.015,0.967,227.842,389.8,617.642,1,to_from,normal,normal
2023-01-01T00:00:00,VB_009,-10.701,1.07,137.411,146.764,284.175,1,to_from,normal,normal
2023-01-01T00:00:00,VB_010,9.76,0.849,85.737,325.261,239.524,1,from_to,normal,normal
2023-01-01T00:00:00,VB_011,-11.022,0.848,121.487,239.524,361.011,1,to_from,normal,normal
2023-01-01T00:00:00,VB_012,-13.41,0.925,179.831,310.873,490.704,1,to_from,normal,normal
2023-01-01T00:00:00,VB_013,-17.056,1.706,261.812,382.222,644.034,1,to_from,normal,normal
2023-01-01T00:00:00,VB_014,-19.748,1.717,436.801,407.908,844.709,1,to_from,normal,normal
2023-01-01T00:00:00,VB_015,-10.311,0.793,95.68,535.766,631.446,1,to_from,normal,normal
2023-01-01T00:00:00,VB_016,9.35,0.645,123,186.315,63.315,1,from_to,normal,normal
2023-01-01T00:00:00,VB_017,11.194,1.119,112.77,166.9,54.13,1,from_to,normal,normal
2023-01-01T00:00:00,VB_018,8.623,0.75,66.918,106.911,39.993,1,from_to,normal,normal
2023-01-01T00:00:00,VB_019,6.346,0.488,36.249,71.714,35.465,1,from_to,normal,normal
2023-01-01T00:00:00,VB_020,-14.251,0.983,182.79,35.465,218.255,1,to_from,normal,normal
2023-01-01T00:00:00,VB_021,-11.41,1.141,117.172,42.601,159.773,1,to_from,normal,normal
2023-01-01T00:00:00,VB_022,-10.892,0.947,166.92,58.132,225.052,1,to_from,normal,normal
2023-01-01T00:00:00,VB_023,-7.903,0.608,56.207,58.767,114.974,1,to_from,normal,normal
2023-01-01T00:00:00,VB_024,-8.711,0.601,71.855,68.529,140.384,1,to_from,normal,normal
2023-01-01T00:00:00,VB_025,4.918,0.492,21.769,79.901,58.132,1,from_to,normal,normal
2023-01-01T00:00:00,VB_026,-12.773,1.111,195.785,186.315,382.1,1,to_from,normal,normal
2023-01-01T00:00:00,VB_027,-13.494,1.038,218.513,188.989,407.502,1,to_from,normal,normal
2023-01-01T00:00:00,VB_028,-19.761,1.363,351.442,280.234,631.676,1,to_from,normal,normal
2023-01-01T00:00:00,VB_029,-9.668,0.967,84.118,223.906,308.024,1,to_from,normal,normal
2023-01-01T00:00:00,VB_030,-11.219,0.976,113.28,228.076,341.356,1,to_from,normal,normal
2023-01-01T00:00:00,VB_031,11.532,0.887,119.693,352.012,232.319,1,from_to,normal,normal
2023-01-01T00:00:00,VB_032,-11.238,0.775,119.595,232.319,351.914,1,to_from,normal,normal
2023-01-01T00:00:00,VB_033,-10.975,1.098,108.411,245.619,354.03,1,to_from,normal,normal
2023-01-01T00:00:00,VB_034,9.81,0.853,86.609,326.133,239.524,1,from_to,normal,normal
2023-01-01T00:00:00,VB_035,-5.592,0.43,28.146,309.176,337.322,1,to_from,normal,normal
2023-01-01T00:00:00,VB_036,-12.77,0.881,152.153,352.878,505.031,1,to_from,normal,normal
2023-01-01T00:00:00,VB_037,-6.043,0.604,38.968,358.535,397.503,1,to_from,normal,normal
2023-01-01T00:00:00,VB_038,-6.206,0.54,34.658,377.501,412.159,1,to_from,normal,normal
2023-01-01T00:00:00,VB_039,6.724,0.517,48.243,413.315,365.072,1,from_to,normal,normal
2023-01-01T00:00:00,VB_040,12.409,0.856,143.676,502.212,358.536,1,from_to,normal,normal
2023-01-01T00:00:00,VB_041,-6.389,0.639,43.558,354.773,398.331,1,to_from,normal,normal
2023-01-01T00:00:00,VB_042,-10.057,0.874,101.842,368.265,470.107,1,to_from,normal,normal
2023-01-01T00:00:00,VB_043,-11.761,0.905,124.484,383.266,507.75,1,to_from,normal,normal
2023-01-01T00:00:00,VB_044,-9.384,0.647,79.257,384.879,464.136,1,to_from,normal,normal
2023-01-01T00:00:00,VB_045,10.631,1.063,101.716,503.113,401.397,1,from_to,normal,normal
2023-01-01T00:00:00,VB_046,10.093,0.878,102.573,484.839,382.266,1,from_to,normal,normal
2023-01-01T00:00:00,VB_047,7.739,0.595,63.904,429.301,365.397,1,from_to,normal,normal
2023-01-01T00:00:00,VB_048,8.426,0.581,63.893,443.764,379.871,1,from_to,normal,normal
2023-01-01T00:00:00,VB_049,-7.352,0.735,51.189,379.871,431.06,1,to_from,normal,normal
2023-01-01T00:00:00,VB_050,-6.378,0.555,36.614,397.033,433.647,1,to_from,normal,normal
2023-01-01T00:00:00,VB_051,-7.38,0.568,49.019,358.535,407.554,1,to_from,normal,normal
2023-01-01T00:00:00,VB_052,-5.622,0.388,28.447,365.072,393.519,1,to_from,normal,normal
2023-01-01T00:00:00,VB_053,-13.457,1.346,162.98,0,162.98,1,to_from,normal,normal
2023-01-01T00:00:00,VB_054,-12.406,1.079,138.52,11.822,150.342,1,to_from,normal,normal
2023-01-01T00:00:00,VB_055,7.359,0.566,48.738,60.56,11.822,1,from_to,normal,normal
2023-01-01T00:00:00,VB_056,-12.546,0.865,146.546,532.463,679.009,1,to_from,normal,normal
2023-01-01T00:00:00,VB_057,-9.13,0.913,75.019,574.037,649.056,1,to_from,normal,normal
2023-01-01T00:00:00,VB_058,14.897,1.295,199.725,786.882,587.157,1,from_to,normal,normal
2023-01-01T00:00:00,VB_059,13.546,1.042,165.143,739.457,574.314,1,from_to,normal,normal
2023-01-01T00:00:00,VB_060,11.14,0.768,111.685,662.927,551.242,1,from_to,normal,normal
2023-01-01T00:00:00,VB_061,6.123,0.612,33.745,565.384,531.639,1,from_to,normal,normal
2023-01-01T00:00:00,VB_062,6.84,0.595,42.113,577.879,535.766,1,from_to,normal,normal
2023-01-01T00:00:00,VB_063,8.35,0.642,62.743,624.194,561.451,1,from_to,normal,normal
2023-01-01T00:00:00,VB_064,-7.413,0.511,49.453,216.638,266.091,1,to_from,normal,normal
2023-01-01T00:00:00,VB_065,-6.778,0.678,41.347,220.628,261.975,1,to_from,normal,normal
